Date : 2021-10-14 19:21:54
Directory : r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src
Total : 75 files,  10070 codes, 444 comments, 523 blanks, all 11037 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\element-ui.scss                       | SCSS       |         35 |          5 |         10 |         50 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\index.scss                            | SCSS       |         54 |          1 |         11 |         66 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\mixin.scss                            | SCSS       |         24 |          0 |          5 |         29 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\sidebar.scss                          | SCSS       |        180 |          6 |         41 |        227 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\transition.scss                       | SCSS       |         35 |          4 |         10 |         49 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\variables.scss                        | SCSS       |         18 |          3 |          5 |         26 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\auth.js                                | JavaScript |         11 |          0 |          5 |         16 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\get-page-title.js                      | JavaScript |          8 |          0 |          3 |         11 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\index.js                               | JavaScript |         88 |         23 |          7 |        118 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\request.js                             | JavaScript |         65 |         12 |          9 |         86 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\validate.js                            | JavaScript |          7 |         11 |          3 |         21 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\404.vue                                | Vue.js     |        225 |          0 |          4 |        229 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-article.vue                | Vue.js     |        434 |          1 |         10 |        445 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-deleted.vue                | Vue.js     |        488 |          2 |         10 |        500 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-article.vue           | Vue.js     |        415 |          1 |         10 |        426 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-deleted.vue           | Vue.js     |        482 |          2 |         10 |        494 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\all-comment.vue                | Vue.js     |        309 |          1 |         10 |        320 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-posted.vue             | Vue.js     |        295 |          1 |         10 |        306 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-received.vue           | Vue.js     |        309 |          1 |         10 |        320 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\dashboard\index.vue                    | Vue.js     |        310 |          0 |         22 |        332 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\article.vue                      | Vue.js     |        504 |         21 |         28 |        553 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\index.vue                        | Vue.js     |        401 |          8 |         19 |        428 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\login\index.vue                        | Vue.js     |        195 |          6 |          6 |        207 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\personal\change-password.vue           | Vue.js     |        117 |          4 |         10 |        131 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\personal\personal-setting.vue          | Vue.js     |        312 |          5 |          7 |        324 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\settings\process.vue                   | Vue.js     |         34 |          0 |          1 |         35 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\user\user.vue                          | Vue.js     |        479 |          9 |         12 |        500 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\write\write.vue                        | Vue.js     |        101 |          1 |         10 |        112 |
| Total                                                                                      |            |     10,070 |        444 |        523 |     11,037 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
