"filename", "language", "JavaScript", "Vue.js", "SCSS", "YAML", "XML", "CSS", "comment", "blank", "total"
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\icons\svgo.yml", "YAML", 0, 0, 0, 5, 0, 0, 13, 5, 23
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\AppMain.vue", "Vue.js", 0, 35, 0, 0, 0, 0, 2, 4, 41
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Navbar.vue", "Vue.js", 0, 116, 0, 0, 0, 0, 0, 18, 134
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 1, 27
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Item.vue", "Vue.js", 0, 38, 0, 0, 0, 0, 0, 4, 42
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Link.vue", "Vue.js", 0, 41, 0, 0, 0, 0, 0, 3, 44
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\Logo.vue", "Vue.js", 0, 74, 0, 0, 0, 0, 0, 9, 83
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\SidebarItem.vue", "Vue.js", 0, 83, 0, 0, 0, 0, 6, 7, 96
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\Sidebar\index.vue", "Vue.js", 0, 53, 0, 0, 0, 0, 1, 3, 57
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\components\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\index.vue", "Vue.js", 0, 86, 0, 0, 0, 0, 0, 8, 94
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\layout\mixin\ResizeHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 2, 4, 46
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 9, 28
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\permission.js", "JavaScript", 58, 0, 0, 0, 0, 0, 16, 9, 83
